9980
         10697584 function calls (10694032 primitive calls) in 10.308 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       10    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.003    0.003 __init__.py:24(<module>)
        1    0.000    0.000    0.007    0.007 npyio.py:1(<module>)
       70    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.001    0.001 tempfile.py:186(_get_default_tempdir)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
      119    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       23    0.000    0.000    0.004    0.000 overrides.py:206(decorator)
        2    0.000    0.000    0.012    0.006 ImageFile.py:476(_save)
      256    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        3    0.000    0.000    0.013    0.004 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
       21    0.000    0.000    0.000    0.000 enum.py:453(_find_data_type)
      395    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.015    0.015 index_tricks.py:1(<module>)
       44    0.000    0.000    0.001    0.000 core.py:145(get_object_signature)
        2    0.000    0.000    0.012    0.006 PngImagePlugin.py:760(_save)
       26    0.000    0.000    0.001    0.000 core.py:6665(getdoc)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 core.py:2717(MaskedArray)
        1    0.000    0.000    0.001    0.001 _ufunc_config.py:5(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        4    0.000    0.000    0.000    0.000 {built-in method posix.close}
        7    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:154(_add_integer_aliases)
       56    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        1    0.000    0.000    0.004    0.004 shutil.py:5(<module>)
        1    0.000    0.000    0.002    0.002 polynomial.py:4(<module>)
        1    0.000    0.000    0.028    0.028 platform.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:246(_set_array_types)
       90    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       79    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
