         201548903 function calls (201542178 primitive calls) in 332.444 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      190    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      571    0.000    0.000    0.000    0.000 {built-in method from_bytes}
     1424    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      608    0.000    0.000    0.000    0.000 pkgutil.py:405(get_importer)
        1    0.000    0.000    0.134    0.134 __init__.py:7(<module>)
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      190    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      572    0.000    0.000    0.001    0.000 <string>:1(__new__)
      273    0.000    0.000    0.001    0.000 function_base.py:428(_needs_add_docstring)
        9    0.000    0.000    0.001    0.000 enum.py:177(<setcomp>)
        1    0.000    0.000    0.001    0.001 __init__.py:259(_reset_cache)
    61/11    0.000    0.000    0.009    0.001 pyparsing.py:3288(leaveWhitespace)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
       88    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      162    0.000    0.000    0.037    0.000 __init__.py:2982(_reload_version)
       88    0.000    0.000    0.034    0.000 sre_compile.py:598(_code)
       88    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      274    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
      280    0.000    0.000    0.000    0.000 __init__.py:668(__iter__)
        1    0.000    0.000    0.003    0.003 core.py:21(<module>)
        1    0.000    0.000    0.224    0.224 __init__.py:106(<module>)
      192    0.000    0.000    0.001    0.000 enum.py:526(__new__)
       28    0.000    0.000    0.002    0.000 __init__.py:1893(get_metadata)
      368    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
      607    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       49    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      417    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
    68/64    0.000    0.000    0.040    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
       28    0.000    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      478    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      162    0.000    0.000    0.036    0.000 __init__.py:2770(_get_version)
